Extra options: []
Measured: 10 times

Total Average: 36.073000 msec
Total Max:     38.870000 msec
Total Min:     32.726000 msec

  AVERAGE       MAX       MIN
------------------------------
26.769800 30.110000 23.608000: /home/garchomp-game/.config/nvim/init.lua
 2.539000  4.116000  1.815000: /home/garchomp-game/.local/share/nvim/lazy/nvim-base16/colors/base16-monokai.vim
 1.563000  1.909000  1.393000: reading ShaDa
 0.785300  0.959000  0.613000: require('lazy.view.commands')
 0.780600  1.006000  0.654000: require('lualine')
 0.670900  0.842000  0.493000: require('lazy.manage')
 0.642000  0.767000  0.584000: sourcing vimrc file(s)
 0.633200  0.890000  0.571000: require('lazy')
 0.561600  1.163000  0.384000: require('base16-colorscheme')
 0.549500  0.783000  0.431000: require('config')
 0.536500  0.688000  0.396000: require('lazy.manage.runner')
 0.463700  0.743000  0.375000: init lua interpreter
 0.386100  0.528000  0.295000: require('lazy.core.loader')
 0.383200  0.573000  0.336000: /home/garchomp-game/.local/share/nvim/lazy/denops.vim/plugin/denops.vim
 0.375500  0.460000  0.321000: init highlight
 0.308100  0.468000  0.254000: inits 1
 0.299500  0.355000  0.247000: require('vim._defaults')
 0.290900  0.539000  0.128000: /usr/share/nvim/runtime/plugin/osc52.lua
 0.284000  0.414000  0.206000: require('lazy.manage.task')
 0.281400  0.364000  0.222000: event init
 0.243000  0.317000  0.164000: require('lazy.stats')
 0.242200  0.314000  0.209000: require('vim._init_packages')
 0.234500  0.314000  0.171000: require('vim.diagnostic')
 0.223300  0.303000  0.200000: /usr/share/nvim/runtime/syntax/syntax.vim
 0.221900  0.400000  0.136000: require('config.option')
 0.219800  0.426000  0.067000: require('vim.iter')
 0.197300  0.372000  0.063000: require('plugins.actions-preview')
 0.195550  0.491000  0.037000: /usr/share/nvim/runtime/filetype.lua
 0.169000  0.191000  0.148000: require('vim.loader')
 0.168500  0.325000  0.121000: opening buffers
 0.163800  0.313000  0.110000: require('config.mappings')
 0.161300  0.311000  0.089000: require('lazy.manage.process')
 0.157800  0.233000  0.140000: /usr/share/nvim/runtime/plugin/rplugin.vim
 0.153900  0.329000  0.090000: require('lazy.core.plugin')
 0.139600  0.187000  0.126000: require('vim._editor')
 0.137300  0.244000  0.068000: require('plugins.Comment')
 0.136300  0.196000  0.117000: /home/garchomp-game/.local/share/nvim/lazy/denops.vim/autoload/denops.vim
 0.133300  0.179000  0.118000: inits 3
 0.132200  0.182000  0.091000: require('lazy.util')
 0.128200  0.209000  0.073000: require('plugins.aerial')
 0.121700  0.132000  0.111000: require('vim.uri')
 0.121300  0.240000  0.088000: early init
 0.121200  0.180000  0.078000: require('lazy.core.util')
 0.119800  0.235000  0.054000: require('lazy.core.handler.ft')
 0.118000  0.193000  0.080000: require('lazy.core.config')
 0.111400  0.160000  0.073000: BufEnter autocommands
 0.109700  0.242000  0.058000: require('plugins.codeium')
 0.104200  0.144000  0.085000: require('lazy.core.handler.event')
 0.093700  0.108000  0.080000: require('lazy.core.handler.keys')
 0.092500  0.117000  0.082000: require('plugins.telescope')
 0.085800  0.200000  0.048000: require('lualine.utils.mode')
 0.085100  0.174000  0.046000: require('plugins.futago-vim')
 0.082600  0.138000  0.067000: require('utils')
 0.079500  0.100000  0.069000: require('plugins.nvim-neo-tree')
 0.079400  0.107000  0.048000: require('config.command')
 0.079300  0.094000  0.066000: require('lazy.core.handler.cmd')
 0.078400  0.178000  0.040000: require('plugins.mason')
 0.078200  0.144000  0.040000: require('plugins.lua-guide-ja')
 0.076900  0.183000  0.046000: require('plugins.toggleterm')
 0.076800  0.129000  0.056000: /usr/share/nvim/runtime/plugin/man.lua
 0.075800  0.126000  0.054000: require('lualine_require')
 0.074200  0.095000  0.061000: /usr/share/nvim/runtime/plugin/editorconfig.lua
 0.073800  0.136000  0.056000: /usr/share/nvim/runtime/plugin/shada.vim
 0.072300  0.111000  0.064000: /usr/share/nvim/runtime/syntax/synload.vim
 0.071900  0.095000  0.041000: require('plugins.diffview')
 0.071800  0.116000  0.035000: require('plugins.neodev')
 0.068800  0.137000  0.052000: require('plugins.nvim-treesitter')
 0.067900  0.094000  0.059000: require('lazy.core.handler')
 0.064700  0.125000  0.048000: /usr/share/nvim/runtime/plugin/nvim.lua
 0.063600  0.190000  0.037000: require('plugins.nvim-devicons')
 0.061100  0.145000  0.035000: require('plugins.mini-nvim')
 0.060300  0.126000  0.042000: require('plugins.plantuml')
 0.059500  0.164000  0.039000: require('plugins.plenary')
